date;E1V1.01;E1V1.02;E1V1.03;E1V1.04;E1V1.05;E1V1.06;E1V1.07;E1V1.08;E1V1.09;E1V1.10;E1V1.11;E1V1.12;E1V1.13;E1V1.14;E1V1.15;E1V2.01;E1V2.02;E1V2.03;E1V2.04;E1V2.05;E1V2.06;E1V2.07;E1V2.08;E1V2.09;E1V2.10;E1V2.11;E1V2.12;E1V2.13;E1V2.14;E1V2.15;E2V1.01;E2V1.02;E2V1.03;E2V1.04;E2V1.05;E2V1.06;E2V1.07;E2V1.08;E2V1.09;E2V1.10;E2V1.11;E2V1.12;E2V1.13;E2V1.14;E2V1.15;E2V2.01;E2V2.02;E2V2.03;E2V2.04;E2V2.05;E2V2.06;E2V2.07;E2V2.08;E2V2.09;E2V2.10;E2V2.11;E2V2.12;E2V2.13;E2V2.14;E2V2.15
2022-06-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-06-02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-06-03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-06-04;0;0;0;0;0;4;0;0;0;0;6;1;2;0;2;0;7;0;8;1;0;1;0;0;0;0;0;0;0;0;2;10;13;0;0;5;5;0;0;0;0;0;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-06-05;0;0;0;0;0;20;0;0;0;0;31;20;15;0;25;0;35;0;37;1;0;20;0;0;0;0;0;0;0;0;2;25;30;25;0;20;20;0;0;0;0;0;0;20;25;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
2022-06-06;0;0;0;0;0;45;0;0;0;0;58;45;38;0;52;0;58;0;66;10;0;42;0;0;0;0;0;0;0;0;25;50;54;38;0;40;40;0;0;0;0;0;0;40;50;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0
2022-06-07;0;0;0;0;0;70;0;0;0;0;90;75;65;0;75;0;83;0;90;24;0;70;0;0;0;0;0;0;0;0;50;80;85;63;0;40;71;0;0;0;0;0;0;70;72;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0
2022-06-08;0;0;0;0;0;95;0;0;0;0;110;100;93;0;102;0;101;0;115;45;0;95;0;0;0;0;0;0;0;0;80;110;117;94;0;40;100;0;0;0;0;0;0;100;105;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0
2022-06-09;0;0;0;0;0;115;0;0;0;0;129;124;115;0;121;0;118;0;136;67;0;112;0;0;0;0;0;0;0;0;104;139;146;115;0;40;130;0;0;0;0;0;0;128;132;0;0;0;75;0;0;0;0;0;0;0;0;0;0;0
2022-06-10;0;0;0;0;0;135;0;0;0;0;145;145;137;0;138;0;133;0;159;90;0;130;0;0;0;0;0;0;0;0;134;163;175;145;0;41;156;0;0;0;0;0;0;151;156;5;0;0;105;0;0;0;0;0;0;0;0;0;0;0
2022-06-11;0;0;0;0;0;153;0;0;0;0;161;164;156;0;149;0;144;0;173;115;0;145;0;0;0;2;0;0;0;0;155;182;202;168;0;52;177;0;0;0;0;0;0;170;176;12;0;0;134;0;0;0;0;0;0;0;0;0;0;0
